kume,kol,kosul,alan,AUC,dAUC,GA alt,GA ust,DeLong p,net etki
RSNA,lung,lungs,0.3990211256377551,0.6821599999999999,0.2542800000000002,0.2079899999999999,0.3005293999999999,0.0,0.14932000000000023
RSNA,lung,non_lungs,0.6009788743622448,0.923096,0.013344000000000023,0.004880000000000042,0.02202020000000004,0.002694649752861711,
RSNA,lung,corners,0.19140625,0.932712,0.0037280000000000646,-0.004500199999999949,0.011722399999999942,0.3608844186120641,-0.03993600000000008
RSNA,lung,border,0.2955994897959184,0.9303119999999999,0.006128000000000133,-6.599999999994932e-05,0.012131199999999955,0.04553257022529511,-0.06570399999999987
RSNA,lung,subdiaphragm,0.28125,0.915728,0.020712000000000064,0.007039199999999935,0.03382640000000001,0.0022027495497756178,-0.05111999999999994
RSNA,lung,upper,0.2008928571428572,0.922248,0.014192000000000093,0.005828799999999893,0.023356999999999926,0.0022251093332488203,-0.029472000000000054
RSNA,lung,center,0.19642857142857145,0.9320559999999999,0.0043840000000001655,-0.0029250000000000387,0.012970799999999956,0.2580919898859375,-0.03927999999999998
RSNA,lung,rand_lungs,0.3990152264030612,0.8314800000000001,0.10495999999999994,0.07719639999999998,0.13378139999999994,2.829958489769524e-12,
RSNA,lung,rand_20,0.1999403300382653,0.8927759999999999,0.04366400000000015,0.026247600000000003,0.06245379999999994,9.846763782128676e-07,
RSNA,lung,rand_30,0.30001339285714285,0.864608,0.07183200000000001,0.04853539999999998,0.09716459999999992,9.875252171553939e-09,
NIH,raw,lungs,0.23678136957908164,0.6610320000000001,0.03018399999999999,0.002266999999999942,0.056649199999999865,0.031067047164223593,0.022904000000000035
NIH,raw,non_lungs,0.7632186304209183,0.631792,0.05942400000000003,0.012593199999999943,0.10446719999999993,0.012402247795394006,
NIH,raw,corners,0.19140625,0.708184,-0.016967999999999983,-0.035138400000000056,-0.00035199999999990794,0.0614750316240098,-0.03232800000000002
NIH,raw,border,0.2955994897959184,0.695544,-0.0043279999999999985,-0.024979999999999992,0.01590859999999992,0.6854278993468033,-0.023760000000000003
NIH,raw,subdiaphragm,0.28125,0.6865359999999999,0.0046800000000001285,-0.013587399999999927,0.022373,0.6032936330307157,-0.014751999999999876
NIH,raw,upper,0.2008928571428572,0.692904,-0.0016879999999999118,-0.023528799999999937,0.020677800000000014,0.8791324120851844,-0.017047999999999952
NIH,raw,center,0.19642857142857145,0.6894239999999999,0.0017920000000001268,-0.017527799999999923,0.021581799999999977,0.8614170704669935,-0.013567999999999913
NIH,raw,rand_lungs,0.23677192283163265,0.6839360000000001,0.007279999999999953,-0.020895000000000018,0.035465799999999964,0.6286030287249409,
NIH,raw,rand_20,0.19999796715561227,0.675856,0.01536000000000004,-0.009790600000000016,0.04067699999999992,0.221409442689668,
NIH,raw,rand_30,0.2999818239795919,0.671784,0.019432000000000005,-0.013249999999999876,0.051709800000000083,0.22990856022346828,
NIH,roi,lungs,0.398201849489796,0.6291120000000001,0.06619199999999992,0.026285599999999975,0.10599339999999995,0.0007061714679652553,0.01006399999999985
NIH,roi,non_lungs,0.6017981505102041,0.679264,0.016040000000000054,-0.023341599999999917,0.05470359999999981,0.4114460515516849,
NIH,roi,corners,0.19140625,0.70452,-0.009216000000000002,-0.027804199999999998,0.009680399999999962,0.32716241800013424,-0.015008000000000132
NIH,roi,border,0.2955994897959184,0.698232,-0.0029279999999999307,-0.028112999999999968,0.02240900000000001,0.8225748170240885,-0.02076
NIH,roi,subdiaphragm,0.28125,0.7044480000000001,-0.009144000000000041,-0.02931239999999994,0.01150060000000011,0.36370501320291604,-0.02697600000000011
NIH,roi,upper,0.2008928571428572,0.6891759999999999,0.006128000000000133,-0.017121400000000016,0.028018599999999942,0.600193819060314,0.00033600000000000296
NIH,roi,center,0.19642857142857145,0.6951039999999999,0.000200000000000089,-0.018254800000000036,0.018602799999999937,0.9834927322459981,-0.005592000000000041
NIH,roi,rand_lungs,0.3981747050382653,0.639176,0.05612800000000007,0.022475000000000044,0.08979059999999991,0.0013601292257350295,
NIH,roi,rand_20,0.19995778858418367,0.6895119999999999,0.00579200000000013,-0.014270200000000061,0.025020200000000034,0.5674447693415636,
NIH,roi,rand_30,0.30003101084183675,0.677472,0.01783200000000007,-0.006445399999999943,0.044134199999999936,0.17165469546711853,
NIH,lung,lungs,0.398201849489796,0.602176,0.10296000000000005,0.049310199999999915,0.15937640000000008,0.00019953462288446744,0.03117599999999998
NIH,lung,non_lungs,0.6017981505102041,0.6932879999999999,0.011848000000000192,0.0012632000000001532,0.023112800000000124,0.03683232628331656,
NIH,lung,corners,0.19140625,0.700752,0.0043840000000000545,-0.007244000000000081,0.015591000000000086,0.4555741993739726,-0.015576000000000034
NIH,lung,border,0.2955994897959184,0.699608,0.005528000000000088,-0.00250859999999995,0.014353199999999962,0.1877057943246878,-0.03068800000000005
NIH,lung,subdiaphragm,0.28125,0.6684239999999999,0.03671200000000019,0.01924719999999999,0.05522439999999999,6.038776680639124e-05,0.000496000000000052
NIH,lung,upper,0.2008928571428572,0.695528,0.009608000000000061,-0.0018035999999999688,0.020542200000000052,0.1015137343804593,-0.010352000000000028
NIH,lung,center,0.19642857142857145,0.697056,0.008080000000000087,-0.0032187999999999353,0.019735999999999976,0.176678888623244,-0.011880000000000002
NIH,lung,rand_lungs,0.39817873086734695,0.633352,0.07178400000000007,0.033607399999999975,0.10770439999999987,0.00014746705855261943,
NIH,lung,rand_20,0.1999485012755102,0.685176,0.01996000000000009,-0.003197800000000031,0.04129800000000004,0.0815557017092885,
NIH,lung,rand_30,0.3000233976403061,0.66892,0.03621600000000014,0.004307800000000037,0.06853139999999988,0.02585519097527378,
